PROV;EDAD1;SEXO1;AOI;FACTOREL
1;40;1;4;193.9
1;30;6;3;193.9
1;35;6;4;252.32
1;30;1;4;252.32
1;0;6;  ;252.32
1;65;1;9;246.58
1;60;6;4;246.58
1;25;6;6;246.58
1;45;6;9;144.01
1;45;1;4;144.01
1;16;1;9;144.01
1;50;1;3;246.24
1;50;6;4;246.24
1;10;6;  ;246.24
1;40;6;4;190.58
1;45;1;4;312.88
1;35;6;9;312.88
1;10;6;  ;312.88
1;5;6;  ;312.88
1;0;6;  ;312.88
1;40;6;4;152.59
1;45;1;4;152.59
1;50;6;4;157.2
1;16;1;9;157.2
1;16;6;9;157.2
1;40;6;9;193.01
1;40;1;4;193.01
1;10;6;  ;193.01
1;5;1;  ;193.01
1;50;1;4;518.02
1;25;1;4;518.02
1;35;6;4;187.9
1;30;1;4;187.9
1;5;1;  ;187.9
1;35;6;9;231.28
1;35;1;4;231.28
1;0;6;  ;231.28
1;50;6;4;194.66
1;45;1;4;155.8
1;65;1;9;204.66
1;65;6;9;204.66
1;65;6;9;258.62
1;65;6;9;258.62
1;45;1;4;155.8
1;65;6;9;258.62
1;65;1;9;204.66
1;65;6;9;204.66
1;65;1;9;204.66
1;65;6;9;204.66
1;50;6;4;171.59
1;16;6;9;171.59
1;55;6;3;244.15
1;25;1;6;244.15
1;20;1;9;244.15
1;55;6;4;235.25
1;55;1;4;233.76
1;55;6;4;233.76
1;60;6;9;283.08
1;30;1;4;216.66
1;45;1;4;185.27
1;45;6;4;185.27
1;10;1;  ;185.27
1;65;6;9;204.66
1;65;1;9;204.66
1;45;1;4;197.3
1;40;6;4;197.3
1;10;1;  ;197.3
1;10;1;  ;197.3
1;65;1;9;243.08
1;60;6;4;243.08
1;30;6;4;243.08
1;25;6;4;243.08
1;65;1;9;191.91
1;65;1;9;204.66
1;65;6;9;204.66
1;65;6;9;258.62
1;65;6;9;258.62
1;45;1;4;151.8
1;45;6;4;151.8
1;65;6;9;204.66
1;65;1;9;204.66
1;60;1;9;232.94
1;60;6;9;232.94
1;25;6;5;232.94
1;45;1;4;235.9
1;10;1;  ;235.9
1;10;6;  ;235.9
1;25;1;4;446.61
1;50;1;4;218.45
1;45;6;4;218.45
1;16;6;9;218.45
1;10;6;  ;218.45
1;55;6;4;248.33
1;55;1;4;248.33
1;25;1;8;248.33
1;20;1;9;248.33
1;16;1;9;248.33
1;45;6;4;214.31
1;10;1;  ;214.31
1;45;1;4;155.8
1;40;6;9;181.53
1;5;1;  ;181.53
1;5;1;  ;181.53
1;45;1;4;151.8
1;45;6;4;151.8
1;50;6;4;213.22
1;50;1;3;213.22
1;40;6;4;190.58
1;50;1;4;244.36
1;45;6;6;244.36
1;10;6;  ;244.36
1;35;1;4;333.49
1;40;6;4;333.49
1;16;6;9;333.49
1;45;1;4;151.8
1;45;6;4;151.8
1;45;6;4;273.84
1;25;1;4;273.84
1;20;6;4;273.84
1;45;1;4;151.8
1;45;6;4;151.8
1;55;1;9;273.47
1;45;6;9;151.8
1;45;1;9;151.8
1;40;1;4;191.05
1;35;6;3;191.05
1;16;6;9;191.05
1;10;6;  ;191.05
1;50;6;4;194.66
1;50;1;4;272.98
1;45;6;4;224
1;50;1;4;224
1;10;6;  ;224
1;5;1;  ;224
1;50;6;6;144.99
1;20;1;9;144.99
1;16;6;9;144.99
1;45;6;4;196.58
1;10;6;  ;196.58
1;10;1;  ;196.58
1;40;1;4;155.58
1;35;6;4;155.58
1;65;1;9;204.66
1;65;6;9;204.66
1;55;1;4;231.54
1;55;6;4;231.54
1;20;6;4;231.54
1;65;6;9;204.66
1;65;1;9;204.66
1;65;1;9;204.66
1;65;6;9;204.66
1;65;6;9;204.66
1;65;1;9;204.66
1;30;6;4;281.57
1;50;1;4;213.22
1;50;6;8;213.22
1;65;6;9;204.66
1;65;1;9;204.66
1;60;1;4;172.52
1;55;6;6;172.52
1;50;6;4;190.1
1;20;6;9;190.1
1;16;6;9;190.1
1;50;6;4;226.38
1;55;1;4;226.38
1;10;1;  ;226.38
1;50;1;4;239.17
1;65;6;9;239.17
1;20;6;4;239.17
1;45;1;4;155.8
1;65;1;9;186.24
1;60;6;4;186.24
1;35;1;6;186.24
1;65;1;9;204.66
1;65;6;9;204.66
1;65;6;9;258.62
1;65;6;9;184.2
1;60;1;9;184.2
1;65;1;9;204.66
1;65;6;9;204.66
1;60;6;4;216.89
1;65;1;9;216.89
1;45;6;4;211.93
1;45;1;4;211.93
1;10;1;  ;211.93
1;10;6;  ;211.93
1;65;6;9;258.62
1;65;6;9;204.66
1;65;1;9;204.66
1;35;6;3;223.4
1;60;6;4;223.4
1;65;6;9;258.62
1;50;6;4;187.62
1;50;1;4;187.62
1;16;6;9;187.62
1;5;1;  ;187.62
1;60;6;4;244.64
1;60;1;4;244.64
1;30;1;4;244.64
1;25;1;4;244.64
1;65;6;9;258.62
1;65;6;9;204.66
1;65;1;9;204.66
1;35;6;6;296.99
1;35;1;3;296.99
1;5;6;  ;296.99
1;0;1;  ;296.99
1;65;1;9;204.66
1;65;6;9;204.66
1;50;1;4;194.4
1;10;1;  ;194.4
1;65;1;9;204.66
1;65;6;9;204.66
1;65;6;9;204.66
1;65;1;9;204.66
1;60;1;4;196.43
1;60;6;9;196.43
1;65;6;9;258.62
1;65;1;9;204.66
1;65;6;9;204.66
1;60;6;9;196.43
1;60;1;9;196.43
1;45;6;4;151.8
1;45;1;4;151.8
1;45;6;4;194.4
1;45;1;4;194.4
1;20;1;9;194.4
1;16;1;9;194.4
1;10;6;  ;194.4
1;50;1;4;224
1;45;6;4;224
1;10;6;  ;224
1;5;1;  ;224
1;50;1;4;272.98
1;50;1;4;217.85
1;50;6;6;217.85
1;20;6;6;217.85
1;50;1;4;208.98
1;45;6;6;208.98
1;10;1;  ;208.98
1;5;1;  ;208.98
1;40;1;9;213.17
1;35;6;4;213.17
1;10;1;  ;213.17
1;5;1;  ;213.17
1;5;1;  ;213.17
1;40;6;6;190.58
1;40;1;4;164.34
1;35;6;9;164.34
1;5;1;  ;164.34
1;5;1;  ;164.34
1;35;1;4;153.52
1;40;6;4;190.58
1;40;1;4;147.44
1;40;6;4;243.86
1;10;6;  ;243.86
1;5;6;  ;243.86
1;40;6;4;190.58
1;40;1;4;178.84
1;35;6;9;178.84
